# Name, RA[unit=deg], DEC[unit=deg], Mag[unit=], Distance[unit=pc], Temperature[unit=K], Radius[unit=R_sun]
Name,RA,DEC,Mag,Distance,Temperature,Radius
Vega,279.2347,38.7837,0.58,7.7,9602,2.8
Sirius,101.2875,-16.7161,1.42,2.64,9940,1.7
Canopus,95.9879,-52.6957,-5.53,94.4,7350,71
Arcturus,213.9153,19.1824,-0.31,11.3,4286,25.4
Capella,79.1716,45.9993,-0.5,12.8,4902,12
Rigel,78.6345,-8.2017,-7.84,264,12100,78.9
Procyon,114.8255,5.225,2.66,3.5,6530,2.1
Achernar,24.4285,-57.2368,-1.46,43.5,15000,7.3
Betelgeuse,88.7929,7.4071,-5.14,222,3500,887
Hadar,210.955,-60.373,-5.12,114,12300,8.4
Acrux,219.899,58.145,-4.70,99,28000,14.5
Altair,297.6958,8.8683,2.21,5.1,7550,1.8
Aldebaran,68.9802,16.5093,-0.65,20.4,3910,44.2
Antares,247.3504,-26.432,-5.28,169,3200,680
Spica,201.2983,-11.1613,-3.55,77.2,22400,7.4
Pollux,116.3289,28.0262,1.15,10.3,4840,8.8
Fomalhaut,344.4128,-29.6222,1.74,7.7,8590,1.8
Deneb,310.3579,45.2803,-8.38,802,8525,203
Mimosa,191.9305,-59.685,-3.99,148,18000,8.4
Regulus,152.0929,11.9672,-0.57,24.3,12460,3.8
Adhara,104.6563,-28.9721,-4.07,124,22000,10.6
Castor,113.649,31.8883,0.57,15.6,10300,2.4
Gacrux,172.8508,-57.4679,-1.47,88.6,4600,84
Shaula,264.3964,-37.1038,-3.64,183,25000,11.5
Bellatrix,81.2828,6.3497,-2.77,75,22000,5.6
Alnilam,84.0534,-1.2019,-6.36,412,27500,24.4
Alnair,332.0582,-46.9609,-0.99,32.6,13300,3.4
Dubhe,165.4601,61.7508,-0.77,38,9120,30.9
Alnitak,85.1897,-1.9425,-5.25,387,29500,20
Saiph,86.9391,-9.6696,-6.38,650,26500,22
Rasalhague,263.7339,12.5605,0.91,47,7700,2.4
Kochab,222.676,74.1555,0.98,131,4500,42
Mirfak,51.0807,49.8612,-3.44,157,6590,68
Alphard,141.8968,-8.6586,-0.98,53.2,4020,50
Atria,252.1663,-69.0277,-3.84,139,7200,76
Alkaid,206.8857,49.3133,-0.16,33,15200,3.4
Mintaka,83.0027,-0.2991,-5.96,210,29000,16.5
Rasalgethi,281.7937,14.552,0.68,105,3980,19
Elnath,81.5729,28.6075,-1.28,45.1,8500,4.1
Alhena,99.4279,16.399,-0.25,34.6,9200,2.8
Ankaa,6.5704,-42.3031,-0.53,14.1,4480,11
Vindemiatrix,193.5073,10.9591,0.81,38.4,6710,6.5
Sadr,305.5569,40.2567,-6.63,1835,8200,173
Algol,47.0422,40.9557,-0.57,28,9800,3.1
Kaus Australis,276.042,-34.3847,-2.15,44.8,7900,3.6
Peacock,309.0216,-56.7351,-2.05,21.4,13400,4
Denebola,177.2653,14.5711,1.93,11,8500,1.7
Alcyone,56.8711,24.1051,-2.41,133,12000,9.3
Diphda,33.1395,-17.5419,1.01,8.1,4640,3.5
Mizar,200.9814,54.9254,0.56,25.05,9340,3.6
Polaris,37.9545,89.2641,-3.64,132,6015,45
Zubeneschamali,235.6854,-11.7041,0.61,58,8440,4.9
Caph,2.293,59.1498,0.06,16.6,7600,4.4
Menkent,207.4047,-36.5859,1.31,34.9,5150,14.5
Avior,252.1663,-59.5095,-3.23,186,10200,18.5
Aspidiske,142.6769,-55.0107,-4.79,96,10400,8
Suhail,142.8346,-43.4328,-3.16,84.04,8000,55
Alsephina,158.0061,-37.2963,-5.30,330,11200,25
Jabbah,263.4021,-42.7916,-4.44,427,22200,11.3
Mirzam,92.1878,-17.9888,-4.99,151,31500,24.4
Phecda,194.0062,54.9254,0.88,25,9200,3.4
Alpherg,67.401,-15.2409,0.73,98,4670,11
Naos,101.2879,-27.9812,-6.23,360,41900,11
Iota Carinae,174.7146,-62.6795,-3.75,101,9700,6
Alya,290.3604,-37.1255,0.43,237,9600,2.9
Schedar,10.5207,56.5373,-0.51,69,3710,41
Sargas,263.9442,-42.4218,-1.85,50.1,8970,4.8
Sabik,264.3969,-15.3981,-1.39,86,16200,4.3
Fomalhaut A,344.4126,-29.6223,1.74,7.7,8590,1.8
Alpheratz,2.092,29.0904,-0.98,97,13800,3.4
Graffias,242.1389,-51.9203,-4.04,148,26700,19.2
Rigil Kentaurus,219.8616,-60.835,4.38,1.29,5790,0.89
Gomeisa,110.1524,27.0745,0.41,11.3,11500,2.9
Zuben Elgenubi,232.1916,-16.9369,1.61,77,8050,4.7
Zubenesham,233.5678,-15.0442,-0.43,152,10800,5.9
Becrux,198.9674,-72.602,-4.64,108,27000,8.5
Nunki,275.2483,-26.2967,1.02,70,9800,4.2
Algieba,154.993,-19.8415,0.87,39.3,4930,4.9
Al Nair,332.2375,-46.9609,0.14,32.6,13000,2
Mu Cephei,319.0416,58.673,-7.09,2400,3700,1420
Eltanin,271.5787,51.4893,1.34,47.3,3940,10.1
Elev,240.9032,16.1204,-7.48,193,5350,69
Markab,324.5682,15.8351,-0.35,83,9960,3.3
Ruchbah,10.5617,60.2355,0.87,99,3400,40
Coxa Australis,276.0429,-34.3847,-2.15,44.8,7900,3.6
Okul,331.445,19.1088,0.78,153,15600,3
Talitha,168.7078,56.382,-0.44,147,10200,2.5
