Name,RA,DEC,Mag,Distance,Temperature,Radius,Luminosity,RA_hms,DEC_dms
Vega,279.2347,38.7837,0.58,7.7,9602,2.8,47488064580.894806,18:36:56.33,+38:47:01.32
Sirius,101.2875,-16.7161,1.42,2.64,9940,1.7,20103190171.804832,06:45:09.00,-16:42:57.96
Canopus,95.9879,-52.6957,-5.53,94.4,7350,71.0,10483049932923.451,06:23:57.10,-52:41:44.52
Arcturus,213.9153,19.1824,-0.31,11.3,4286,25.4,155130681621.9785,14:15:39.67,+19:10:56.64
Capella,79.1716,45.9993,-0.5,12.8,4902,12.0,59248494634.967735,05:16:41.18,+45:59:57.48
Rigel,78.6345,-8.2017,-7.84,264.0,12100,78.9,95086111684797.66,05:14:32.28,-08:12:06.12
Procyon,114.8255,5.225,2.66,3.5,6530,2.1,5713640552.089066,07:39:18.12,+05:13:30.00
Achernar,24.4285,-57.2368,-1.46,43.5,15000,7.3,1922349535707.8706,01:37:42.84,-57:14:12.48
Betelgeuse,88.7929,7.4071,-5.14,222.0,3500,887.0,84128087809407.39,05:55:10.30,+07:24:25.56
Hadar,210.955,-60.373,-5.12,114.0,12300,8.4,1150802027967.6233,14:03:49.20,-60:22:22.80
Acrux,219.899,58.145,-4.7,99.0,28000,14.5,92085177697719.02,14:39:35.76,+58:08:42.00
Altair,297.6958,8.8683,2.21,5.1,7550,1.8,7501608884.99574,19:50:46.99,+08:52:05.88
Aldebaran,68.9802,16.5093,-0.65,20.4,3910,44.2,325366749743.07605,04:35:55.25,+16:30:33.48
Antares,247.3504,-26.432,-5.28,169.0,3200,680.0,34549306901310.723,16:29:24.10,-26:25:55.20
Spica,201.2983,-11.1613,-3.55,77.2,22400,7.4,9823745740146.578,13:25:11.59,-11:09:40.68
Pollux,116.3289,28.0262,1.15,10.3,4840,8.8,30280872985.022305,07:45:18.94,+28:01:34.32
Fomalhaut,344.4128,-29.6222,1.74,7.7,8590,1.8,12570115441.835926,22:57:39.07,-29:37:19.92
Deneb,310.3579,45.2803,-8.38,802.0,8525,203.0,155092653751630.88,20:41:25.90,+45:16:49.08
Mimosa,191.9305,-59.685,-3.99,148.0,18000,8.4,5278009811325.303,12:47:43.32,-59:41:06.00
Regulus,152.0929,11.9672,-0.57,24.3,12460,3.8,248005300666.03546,10:08:22.30,+11:58:01.92
Adhara,104.6563,-28.9721,-4.07,124.0,22000,10.6,18755301692380.96,06:58:37.51,-28:58:19.56
Castor,113.649,31.8883,0.57,15.6,10300,2.4,46194788483.533394,07:34:35.76,+31:53:17.88
Gacrux,172.8508,-57.4679,-1.47,88.6,4600,84.0,2251186623397.476,11:31:24.19,-57:28:04.44
Shaula,264.3964,-37.1038,-3.64,183.0,25000,11.5,36810974613830.6,17:37:35.14,-37:06:13.68
Bellatrix,81.2828,6.3497,-2.77,75.0,22000,5.6,5234658784915.155,05:25:07.87,+06:20:58.92
Alnilam,84.0534,-1.2019,-6.36,412.0,27500,24.4,242623033654900.9,05:36:12.82,-01:12:06.84
Alnair,332.0582,-46.9609,-0.99,32.6,13300,3.4,257742477404.3655,22:08:13.97,-46:57:39.24
Dubhe,165.4601,61.7508,-0.77,38.0,9120,30.9,4706715119513.753,11:01:50.42,+61:45:02.88
Alnitak,85.1897,-1.9425,-5.25,387.0,29500,20.0,215858749051703.22,05:40:45.53,-01:56:33.00
Saiph,86.9391,-9.6696,-6.38,650.0,26500,22.0,170078907715321.9,05:47:45.38,-09:40:10.56
Rasalhague,263.7339,12.5605,0.91,47.0,7700,2.4,14428028275.9224,17:34:56.14,+12:33:37.80
Kochab,222.676,74.1555,0.98,131.0,4500,42.0,515430645637.2366,14:50:42.24,+74:09:19.80
Mirfak,51.0807,49.8612,-3.44,157.0,6590,68.0,6214140730952.0625,03:24:19.37,+49:51:40.32
Alphard,141.8968,-8.6586,-0.98,53.2,4020,50.0,465227974909.7316,09:27:35.23,-08:39:30.96
Atria,252.1663,-69.0277,-3.84,139.0,7200,76.0,11060602147923.79,16:48:39.91,-69:01:39.72
Alkaid,206.8857,49.3133,-0.16,33.0,15200,3.4,439697287566.96423,13:47:32.57,+49:18:47.88
Mintaka,83.0027,-0.2991,-5.96,210.0,29000,16.5,137208646640199.19,05:32:00.65,-00:17:56.76
Rasalgethi,281.7937,14.552,0.68,105.0,3980,19.0,64544774947.96016,18:47:10.49,+14:33:07.20
Elnath,81.5729,28.6075,-1.28,45.1,8500,4.1,62526629255.782295,05:26:17.50,+28:36:27.00
Alhena,99.4279,16.399,-0.25,34.6,9200,2.8,40021095527.06624,06:37:42.70,+16:23:56.40
Ankaa,6.5704,-42.3031,-0.53,14.1,4480,11.0,34731139066.6979,00:26:16.90,-42:18:11.16
Vindemiatrix,193.5073,10.9591,0.81,38.4,6710,6.5,61029300836.34032,12:54:01.75,+10:57:32.76
Sadr,305.5569,40.2567,-6.63,1835.0,8200,173.0,96420463858914.94,20:22:13.66,+40:15:24.12
Algol,47.0422,40.9557,-0.57,28.0,9800,3.1,63161042716.34562,03:08:10.13,+40:57:20.52
Kaus Australis,276.042,-34.3847,-2.15,44.8,7900,3.6,35969546917.4147,18:24:10.08,-34:23:04.92
Peacock,309.0216,-56.7351,-2.05,21.4,13400,4.0,367587535731.146,20:36:05.18,-56:44:06.36
Denebola,177.2653,14.5711,1.93,11.0,8500,1.7,10749670347.96019,11:49:03.67,+14:34:15.96
Alcyone,56.8711,24.1051,-2.41,133.0,12000,9.3,1277945938191.891,03:47:29.06,+24:06:18.36
Diphda,33.1395,-17.5419,1.01,8.1,4640,3.5,4046034779.1036963,02:12:33.48,-17:32:30.84
Mizar,200.9814,54.9254,0.56,25.05,9340,3.6,70277144529.34076,13:23:55.54,+54:55:31.44
Polaris,37.9545,89.2641,-3.64,132.0,6015,45.0,1888813833931.5002,02:31:49.08,+89:15:50.76
Zubeneschamali,235.6854,-11.7041,0.61,58.0,8440,4.9,86812756690.88634,15:42:44.50,-11:42:14.76
Caph,2.293,59.1498,0.06,16.6,7600,4.4,46023678023.87776,00:09:10.32,+59:08:59.28
Menkent,207.4047,-36.5859,1.31,34.9,5150,14.5,105386873683.40816,13:49:37.13,-36:35:09.24
Avior,252.1663,-59.5095,-3.23,186.0,10200,18.5,2639767906358.3843,16:48:39.91,-59:30:34.20
Aspidiske,142.6769,-55.0107,-4.79,96.0,10400,8.0,533500624139.4548,09:30:42.46,-55:00:38.52
Suhail,142.8346,-43.4328,-3.16,84.04,8000,55.0,8828906704191.525,09:31:20.30,-43:25:58.08
Alsephina,158.0061,-37.2963,-5.3,330.0,11200,25.0,7007671073310.365,10:32:01.46,-37:17:46.68
Jabbah,263.4021,-42.7916,-4.44,427.0,22200,11.3,22099903912319.68,17:33:36.50,-42:47:29.76
Mirzam,92.1878,-17.9888,-4.99,151.0,31500,24.4,417679796392852.0,06:08:45.07,-17:59:19.68
Phecda,194.0062,54.9254,0.88,25.0,9200,3.4,59010696976.13337,12:56:01.49,+54:55:31.44
Alpherg,67.401,-15.2409,0.73,98.0,4670,11.0,41008557523.39039,04:29:36.24,-15:14:27.24
Naos,101.2879,-27.9812,-6.23,360.0,41900,11.0,265743752235918.28,06:45:09.10,-27:58:52.32
Iota Carinae,174.7146,-62.6795,-3.75,101.0,9700,6.0,227096812462.6614,11:38:51.50,-62:40:46.20
Alya,290.3604,-37.1255,0.43,237.0,9600,2.9,50898212271.28434,19:21:26.50,-37:07:31.80
Schedar,10.5207,56.5373,-0.51,69.0,3710,41.0,226926362952.25262,00:42:04.97,+56:32:14.28
Sargas,263.9442,-42.4218,-1.85,50.1,8970,4.8,106285457820.80165,17:35:46.61,-42:25:18.48
Sabik,264.3969,-15.3981,-1.39,86.0,16200,4.3,907441360062.6802,17:37:35.26,-15:23:53.16
Fomalhaut A,344.4126,-29.6223,1.74,7.7,8590,1.8,12570115441.835926,22:57:39.02,-29:37:20.28
Alpheratz,2.092,29.0904,-0.98,97.0,13800,3.4,298741653441.6752,00:08:22.08,+29:05:25.44
Graffias,242.1389,-51.9203,-4.04,148.0,26700,19.2,133496261459324.45,16:08:33.34,-51:55:13.08
Rigil Kentaurus,219.8616,-60.835,4.38,1.29,5790,0.89,634330901.8557613,14:39:26.78,-60:50:06.00
Gomeisa,110.1524,27.0745,0.41,11.3,11500,2.9,104811505183.8239,07:20:36.58,+27:04:28.20
Zuben Elgenubi,232.1916,-16.9369,1.61,77.0,8050,4.7,66099905409.93008,15:28:45.98,-16:56:12.84
Zubenesham,233.5678,-15.0442,-0.43,152.0,10800,5.9,337458713018.3886,15:34:16.27,-15:02:39.12
Becrux,198.9674,-72.602,-4.64,108.0,27000,8.5,27359900189845.97,13:15:52.18,-72:36:07.20
Nunki,275.2483,-26.2967,1.02,70.0,9800,4.2,115937647608.35968,18:20:59.59,-26:17:48.12
Algieba,154.993,-19.8415,0.87,39.3,4930,4.9,10106515300.59233,10:19:58.32,-19:50:29.40
Al Nair,332.2375,-46.9609,0.14,32.6,13000,2.0,81405734884.56036,22:08:57.00,-46:57:39.24
Mu Cephei,319.0416,58.673,-7.09,2400.0,3700,1420.0,269280674023419.7,21:16:09.98,+58:40:22.80
Eltanin,271.5787,51.4893,1.34,47.3,3940,10.1,17516576718.23581,18:06:18.89,+51:29:21.48
Elev,240.9032,16.1204,-7.48,193.0,5350,69.0,2779296690125.978,16:03:36.77,+16:07:13.44
Markab,324.5682,15.8351,-0.35,83.0,9960,3.3,76363677369.388,21:38:16.37,+15:50:06.36
Ruchbah,10.5617,60.2355,0.87,99.0,3400,40.0,152355189429.91333,00:42:14.81,+60:14:07.80
Coxa Australis,276.0429,-34.3847,-2.15,44.8,7900,3.6,35969546917.4147,18:24:10.30,-34:23:04.92
Okul,331.445,19.1088,0.78,153.0,15600,3.0,379806596677.40485,22:05:46.80,+19:06:31.68
Talitha,168.7078,56.382,-0.44,147.0,10200,2.5,48206134155.55852,11:14:49.87,+56:22:55.20
